"coalition_id","name","abbreviation","colors"
,"Candidatura común",,"RED'"
,"Candidatura común PAN, QI",,"PURPLE','BLUE','WHITE'"
,"Candidatura común PRI, PRD",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Equipo por el bien de Nuevo León",,"ORANGE'"
,"Equipo por Michoacán",,"BLUE', 'WHITE'"
,"Juntos Hacemos Historia",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia Ciudad de México",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Baja California",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Baja California Sur",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Campeche",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Chihuahua",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Colima",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Guerrero",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Michoacán",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Nayarit",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en San Luis Potosí",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Sinaloa",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Sonora",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Tlaxcala",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Zacatecas",,"RED', 'GREEN', 'BLUE'"
,"Nos Une Chihuahua",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Sí por Colima",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Si por San Luis Potosí",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Unidos Contigo Baja California Sur",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Unidos por Tlaxcala",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va fuerte por Nuevo León",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por México",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Baja California",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Baja California Sur",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Campeche",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Guerrero",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por México",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Nayarit",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Sinaloa",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Sonora",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Zacatecas",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Coalición PRD-PAC",,"YELLOW','BLACK'"
,"PAN-Humanista",,"BLUE','PURPLE'"
,"PAN-PSD",,"BLUE','WHITE'"
,"Juntos hacemos historia por Morelos",,"RED', 'GREEN', 'BLUE'"
,"Va por Morelos",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Va por Colima",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Candidatura Común PAN,PRD,CQRoo",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Juntos Haremos Historia por Quintana Roo",,"RED', 'GREEN', 'BLUE'"
,"Por Aguascalientes",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
,"Juntos hacemos historia en Puebla",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Hidalgo",,"RED', 'GREEN', 'BLUE'"
,"Juntos hacemos historia en Aguascalientes",,"RED', 'GREEN', 'BLUE'"
,"Alianza Ciudadana por la Seguridad",,"BLUE', 'WHITE', 'ORANGE', 'PURPLE', 'PINK'"
,"Rescatemos Coahuila",,"ORANGE','GREEN'"
,"Justos hacemos historia Estado de México",,"RED', 'GREEN', 'BLUE'"
,"Va por Estado de México",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
53,"Alianza Ciudadana por la Seguridad",,
,"Rescatemos Coahuila",,
,"Justos hacemos historia Estado de México",,
,"Va por Estado de México",,
57,"Fuerza Y Corazón Por México",,"BLUE', 'WHITE', 'RED', 'YELLOW'"
58,"Sigamos Haciendo Historia",,"RED', 'GREEN', 'BLUE'"
59,"Candidatura Común, Morena, PT, PVEM",,
60,"Candidatura Común, PAN, PRI, PANAL",,
61,"Candidatura Común, PRI, PAN",,
62,"Candidatura Común, PVEM, PANAL",,
63,"Coalición Frente Amplio por México",,
64,"Coalición Paz y Bienestar",,
65,"Fuerza Por Mexico Chiapas",,
66,"Fuerza Y Corazón Por Chiapas",,
67,"Fuerza y Corazón Por Colima",,
68,"Fuerza Y Corazón Por Guanajuato",,
69,"Fuerza Y Corazón Por Jalisco",,
70,"Fuerza Y Corazón Por Nuevo León",,
71,"Fuerza Y Corazón Por Puebla",,
72,"Fuerza Y Corazón Por Tabasco",,
73,"Fuerza Y Corazón Por Veracruz",,
74,"Fuerza Y Corazón Por Zacatecas",,
75,"Mejor Rumbo por Puebla",,
,"Seguiremos Haciendo Historia En Chiapas",,
77,"Sigamos Haciendo Historia en Baja California",,
78,"Sigamos Haciendo Historia en Chiapas",,
79,"Sigamos Haciendo Historia en Coahuila",,
80,"Sigamos Haciendo Historia en Guanajuato",,
81,"Sigamos Haciendo Historia en Jalisco",,
82,"Sigamos Haciendo Historia en Morelos",,
83,"Sigamos Haciendo Historia en Nuevo León",,
84,"Sigamos Haciendo Historia en Puebla",,
85,"Sigamos Haciendo Historia en Tabasco",,
86,"Sigamos Haciendo Historia en Veracruz",,
87,"Sigamos Haciendo Historia en Yucatán",,
88,"Sigamos Haciendo Historia en la Ciudad de México",,
89,"Va X la Ciudad de México",,
90,"Candidatura Común Morena, PT, PVEM, PANAL, PESol",,
91,"Candidatura Común PAN, PRD",,
92,"Candidatura Común PAN, PRI, PRD",,
93,"Candidatura Común, Morena, PT",,
94,"Candidatura Común, Morena, PT, PVEM",,
95,"Candidatura Común, PAN, PRI, PANAL",,
96,"Dignidad Y Seguridad Por Morelos Vamos Todos",,
97,"Fuerza y Corazón por Acapulco",,
98,"Fuerza y Corazón por Chilpancingo",,
99,"Fuerza Y Corazón por Colima",,
100,"Fuerza Y Corazón Por Hidalgo",,
101,"Fuerza Y Corazón Por México",,
102,"Fuerza Y Corazón Por Querétaro",,
103,"Fuerza Y Corazón por Quintana Roo",,
104,"Fuerza y Corazón por San Luis Potosí",,
105,"Fuerza Y Corazón Por Sinaloa",,
106,"Fuerza Y Corazón Por Sonora",,
107,"Fuerza Y Corazón Por Tamaulipas",,
108,"Juntos Defendamos A Chihuahua",,
109,"Juntos por Baja California Sur",,
110,"Movimiento Progresa",,
111,"Seguiremos Haciendo Historia en Hidalgo",,
112,"Sigamos Haciendo Historia",,
113,"Sigamos Haciendo Historia en Baja California Sur",,
114,"Sigamos Haciendo Historia en Campeche",,
115,"Sigamos Haciendo Historia en Chihuahua",,
116,"Sigamos Haciendo Historia en Guerrero",,
117,"Sigamos Haciendo Historia en Michoacán",,
118,"Sigamos Haciendo Historia en Quintana Roo",,
119,"Sigamos Haciendo Historia en San Luis Potosí",,
120,"Sigamos Haciendo Historia en Tamaulipas",,
121,"Juntos Haciendo Historia Por Zacatecas",,
122,"Fuerza Y Corazón Por El Edomex",,
123,"Seguiremos Haciendo Historia En El Estado De México",,
124,"Fuerza y Corazón por Nayarit",,
125,"Sigamos Haciendo Historia en Nayarit",,
126,"Candidatura Común PAN, PRI",,
127,"Candidatura Común PVEM, FM",,
